,제목,본문,본문 댓글,답변,태그,,
217,의존성이 많이 꼬인 것 같은데 어떻게 방법이 없을까요!?,"sudo apt-get --reinstall install debconf
패키지 목록을 읽는 중입니다... 완료
의존성 트리를 만드는 중입니다
상태 정보를 읽는 중입니다... 완료
다음을 바로잡으려면 'apt-get -f install'을 실행해 보십시오:
다음 패키지의 의존성이 맞지 않습니다:
 python-apt : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
              의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
              의존: python:any (>= 2.7.1-0ubuntu2)
 python-chardet : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                  의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                  의존: python:any (>= 2.7.1-0ubuntu2)
 python-configobj : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python:any (>= 2.7.1-0ubuntu2)
 python-gdbm : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
               의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
 python-openssl : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                  의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                  의존: python:any (>= 2.7.1-0ubuntu2)
 python-pam : 의존: python (>= 2.7~) 하지만 %s 패키지를 설치하지 않을 것입니다
              의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
 python-pkg-resources : 의존: python:any (>= 2.7)
                        의존: python:any (< 2.8)
 python-pycurl : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python:any (>= 2.7.1-0ubuntu2)
 python-requests : 의존: python:any (< 2.8)
                   의존: python:any (>= 2.7.5-5~)
 python-serial : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python:any (>= 2.7.1-0ubuntu2)
 python-setuptools : 의존: python:any (>= 2.7)
                     의존: python:any (< 2.8)
 python-six : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
              의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
              의존: python:any (>= 2.7.1-0ubuntu2)
 python-stevedore : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python:any (>= 2.7.1-0ubuntu2)
 python-twisted-bin : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                      의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
 python-twisted-core : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                       의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                       의존: python:any (>= 2.7.1-0ubuntu2)
 python-urllib3 : 의존: python:any (>= 2.7.5-5~)
                  의존: python:any (< 2.8)
 python-xapian : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                 의존: python:any (>= 2.7.1-0ubuntu2)
 python-zope.interface : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                         의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                         의존: python:any (>= 2.7.1-0ubuntu2)
 virtualenv-clone : 의존: python (>= 2.7) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python (< 2.8) 하지만 %s 패키지를 설치하지 않을 것입니다
                    의존: python:any (>= 2.7.1-0ubuntu2)
E: 의존성이 맞지 않습니다. 패키지 없이 'apt-get -f install'을 시도해 보십시오 (아니면 해결 방법을 지정하십시오).
root@localhost:/usr/bin#",No Comments Exist,"
아래의 명령어는 의존성을 고치는 명렁으로서, 한번 실행 해보시기 바랍니다.

sudo apt-get -f install

sudo dpkg --configure -a




<---------댓글----------->



답변주셔서 감사합니다! 첫번째 명령어를 실행하면 
dpkg: error processing package debconf (--configure):
 package is in a very bad inconsistent state; you should
 reinstall it before attempting configuration
위와 같은 에러가 발생
두번째 명령어는 오류가 너무 많아 처리가 불가능 합니다 라고 나옵니다...
다른방법이 있을까요?



*************************************************************
",의존성,,
218,의존성이 많이 꼬인 것 같습니다. 구글링을 열심히 해보았으나 해결이 되질 않습니다 어떻게 접근하여 해결을 할 수 있을까요!?,"첫번째 방법 sudo apt-get install -f

root@localhost:~# sudo apt-get install -f
sudo: unable to resolve host localhost
패키지 목록을 읽는 중입니다... 완료
의존성 트리를 만드는 중입니다
상태 정보를 읽는 중입니다... 완료
의존성을 바로잡는 중입니다... 완료
다음 패키지를 더 설치할 것입니다:
  apport python python-apt python-requests python-urllib3
제안하는 패키지:
  apport-gtk apport-kde python-doc python-tk python-apt-dbg python-gtk2
  python-vte python-apt-doc
다음 새 패키지를 설치할 것입니다:
  python
다음 패키지를 업그레이드할 것입니다:
  apport python-apt python-requests python-urllib3
4개 업그레이드, 1개 새로 설치, 0개 제거 및 2개 업그레이드 안 함.
65개를 완전히 설치하지 못했거나 지움.
0 바이트/695 k바이트 아카이브를 받아야 합니다.
이 작업 후 725 k바이트의 디스크 공간을 더 사용하게 됩니다.
계속 하시겠습니까? [Y/n] y
dpkg: error processing package debconf (--configure):
 package is in a very bad inconsistent state; you should
 reinstall it before attempting configuration
처리하는데 오류가 발생했습니다:
E: Sub-process /usr/bin/dpkg returned an error code (1)

두번째 방법 dpkg --configure -a

root@localhost:~# dpkg --configure -a

dpkg: dependency problems prevent configuration of libssl1.0.0:amd64:
 libssl1.0.0:amd64 패키지는 다음 패키지에 의존: debconf (>= 0.5) | debconf-2.0: 하지만:
 debconf 패키지는 아직 설정하지 않았습니다.
  debconf-2.0 패키지는 설치하지 않았습니다.
  debconf 패키지는 debconf-2.0을(를) 제공하지만 아직 설정하지 않았습니다.

dpkg: error processing package libssl1.0.0:amd64 (--configure):
 의존성 문제 - 설정하지 않고 남겨둠
dpkg: dependency problems prevent configuration of wpasupplicant:
 wpasupplicant 패키지는 다음 패키지에 의존: libssl1.0.0 (>= 1.0.1): 하지만:
 libssl1.0.0:amd64 패키지는 아직 설정하지 않았습니다.

dpkg: error processing package wpasupplicant (--configure):
 의존성 문제 - 설정하지 않고 남겨둠
dpkg: error processing package lsb-release (--configure):
 package is in a very bad inconsistent state; you should
 reinstall it before attempting configuration
dpkg: dependency problems prevent configuration of openssl:
 openssl 패키지는 다음 패키지에 의존: libssl1.0.0 (>= 1.0.1): 하지만:
 libssl1.0.0:amd64 패키지는 아직 설정하지 않았습니다. 

........ 등등등 오류가 너무 많아서 마지막 줄에는

오류가 너무 많아 처리를 중단했습니다.

이런식으로 표시됩니다.

어떻게 접근하여 해결을 할 수 있을까요!?",No Comments Exist,"
부팅시 grub 에서 이전 버젼의 커널로 접속해보세요. 다른 커널에서는 꼬임이 적용 안되있던 경험이 납니다.
근데
home 을 제외한 루트 시스템을 따로 백업해 두셨다면 시스템 복구를 통해 되돌아가는게 가장 확실한데요.
백업은 필수.




<---------댓글----------->



*************************************************************
",의존성,,
219,노트북에 우분투 설치후 정상적으로 종료가 되지 않습니다.,"

한성컴퓨터 XF56 노트북을 쓰고 있습니다.
SSD + HDD로 쓰고 있는데 우분투 16.04.1버전을 SSD에 설치하나 HDD에 설치하나 동일하게 위 스크린 샷과 같은 문구가 뜨면서 로그아웃이나 셧다운이 되지 않습니다.
전에 쓰던 노트북에 16.04를 설치할 때는 이런 문제가 없었는데 갑자기 이런 문제가 생겨서 당황스럽습니다.
",No Comments Exist,"
한번 우분투 말고 민트 kde 나 cinnamon 최신버젼으로 설치해 보세요.




<---------댓글----------->



*************************************************************
","종료
커널",,
220,우분투 16.04버전에 3포인트 멀티터치 제스쳐 기능을 끄고 싶습니다.,멀티터치 지원을 하는 모니터에 유니티3D로 멀티터치게임을 만들었습니다. 그런데 우분투에서 기본으로 제공하는 3 포인트 멀티터치 제스쳐 기능 때문에 게임을 시작해서 멀티터치를 하면 창모드로 전환해서 게임을 할 수가 없습니다. 게임에 멀티터치를 지원하기 때문에 멀티터치말고 3개를 눌렀을때 창모드로 바뀌는 3 포인트  멀티터치 제스쳐 기능을 끄면 될꺼 같은데 방법이 없을까요?? 부탁드립니다~~ (데스크탑 게임입니다.),No Comments Exist,"
sudo apt-get install compizconfig-settings-manager

로 컴피즈 설정 관리자를 설치하여 ccsm을 실행하시면 MT Grab handle이 있습니다.

해당 플러그인을 비활성화하시면 될 것으로 보여집니다.




<---------댓글----------->



*************************************************************
","#우분투
#16
04
#멀티터치
#제스쳐",,
221,노트북에서 우분투 16.04 LTS 설치 후 화면이 깜박깜박 거리는 현상이 있습니다. 우분투만 그렇습니다.,"안녕하세요?

웹 개발자로써 리눅스를 배우려고 노트북에 우분투를 설치 하였습니다.

그런데 설치후에 액정화면이 깜박 깜박 거립니다. 계속.. 설치버전(영문버전 16.04 LTS)

구글 검색해서 커널 업데이트도 해보고 nvida 그래픽 카드 업데이트 했는데도 마찬가지이네요.

정말로 꼭 도와주세요.ㅠㅠ 윈도우 말고 우분투로 연습하고 싶어요.",No Comments Exist,"
우분투 말고
민트를 설치해보세요.
어떤 사용자는
민트와 궁합이 맞는경우도 있더군요.
설치하지 말고 라이브 부팅만 해보셔도
답 나오지 않을까요?
또는
구글링 해보시면 나오는 여러 방법들을
더 찾아적용해 보세요.




<---------댓글----------->



*************************************************************
","노트북
화면
깜박
깜박거림
그래픽카드",,
222,칼리리눅스 LIVE CD 네트워크 연결,칼리리눅스를 라이브CD로 부팅했을때 인터넷 연결이 안되는건가요? 이더넷 드라이브 잡아주면 될까요?,No Comments Exist,"
Kali Linux를 포함하여 대부분의 Linux live boot 이미지의 경우 자동으로 Ethernet을 잡도록 되어있습니다.

이번 현상의 경우 Live boot 이미지에서 해당 드라이버 인식을 못 하는것으로 예상됩니다.

따로 드라이버를 주십시오.




<---------댓글----------->



*************************************************************
","칼리리눅스
네트워크
이더넷",,
223,Os선택화면이 뜹니다,"이미지를 첨부하고 싶지만 방법을 몰라서...

--------
*Ubuntu
어드밴스드 옵션 for 우분투
메모리 테스트
메모리 테스트
윈도우 7
--------

이런식으로 os선택화면이 뜹니다.

윈도우7 설치된 노트북에 usb로 우분투 디스크를 만들어 실행했는데 위와 같이 os선택화면이 뜹니다. 

물론 윈도우 7을 선택하면 실행가능합니다만, usb를 꼽으면 우분투가 실행되고, usb를 안꼽으면 윈도우가 실행되게 할수는 없나요??

(참고) usb를 안꼽으면 윈도우 실행도 안되는걸 봐서 윈도우 부팅 옵션을 뭔가 잘못 건드린걸까요?",No Comments Exist,"
sudo gedit /boot/grub/grub.cfg

에서 

set default=""0"" 을 ""4"" 로 수정하시고
set timeout=10 도 1 로 수정 후에 저장하세요.
부팅 중 방향키를 안 누르면 윈도우가 기본 실행됩니다.




<---------댓글----------->



*************************************************************
","우분투
os선택화면",,
224,우분투 16.04 버젼에서 WOL기능을 했을 경우 종료시 재시작되는 문제?,"우분투 16.04 버젼에서 WOL기능으로 PC를 켜고, 팀뷰어로 원격지원을 연결했을경우 우분투 종료하면 종료가 되지 않고 다시 재시작 됩니다.

그리고 그 PC 말고 다른 PC 윈도우10이 설치되어져 있는데 이것도 WOL기능으로 PC를 켜고 팀뷰어로 원격지원 연결했을경우 윈도우 종료하면 종료가 되지 않고 다시 재시작됩니다.

이 문제로 재시작된 후 윈도우와 우분투 종료하면 종료가 잘됩니다.

즉, 2번 종료를 해줘야 종료가 잘 된다는것입니다.

이 현상에 대한 해결책이 있을까요?",No Comments Exist,No Answers Exist,wol,,
225,와이파이 질문입니다,"원래 노트북에서 윈도우를 사용했는데 우분투를 사용해보고 싶어서 듀얼부팅이 되게 우분투 16.04lts를 깔았습니다.

노트북은 asus의 r516ux-dm031입니다.
그런데 윈도우에서는 와이파이를 잘 잡는데 우분투에서는 와이파이를 잡지 못하네요... 구글링해서 찾아보니까 아예 드라이버가 없는거 같아서 설치를 했는데도 와이파이를 잡지 못합니다..

iwlwifi-7265-14.ucode, iwlwifi-7265D-14.ucode를 /lib/firmware에 넣어놨습니다.

리눅스 자체가 처음이라 명령어도 잘 모르는 상태라ㅜㅜ

제발 방법 좀 알려주세요ㅜㅜ 지금 2주째 와이파이 잡는다고 아주 죽을맛입니다ㅜㅜ(참고로 랜선 꽂으면 잘 됩니다...)

사진 첨부가 잘 안되서 밑에 복사해서 쓸게요ㅜㅜ

lspci를 치면 다음과 같이 뜹니다.

stone@stone-K501UX:~$ lspci
00:00.0 Host bridge: Intel Corporation Sky Lake Host Bridge/DRAM Registers (rev 08)
00:02.0 VGA compatible controller: Intel Corporation Sky Lake Integrated Graphics (rev 07)
00:04.0 Signal processing controller: Intel Corporation Skylake Processor Thermal Subsystem (rev 08)
00:14.0 USB controller: Intel Corporation Sunrise Point-LP USB 3.0 xHCI Controller (rev 21)
00:14.2 Signal processing controller: Intel Corporation Sunrise Point-LP Thermal subsystem (rev 21)
00:15.0 Signal processing controller: Intel Corporation Sunrise Point-LP Serial IO I2C Controller (rev 21)
00:15.1 Signal processing controller: Intel Corporation Sunrise Point-LP Serial IO I2C Controller (rev 21)
00:16.0 Communication controller: Intel Corporation Sunrise Point-LP CSME HECI (rev 21)
00:17.0 SATA controller: Intel Corporation Sunrise Point-LP SATA Controller [AHCI mode] (rev 21)
00:1c.0 PCI bridge: Intel Corporation Device 9d10 (rev f1)
00:1c.4 PCI bridge: Intel Corporation Sunrise Point-LP PCI Express Root Port (rev f1)
00:1c.5 PCI bridge: Intel Corporation Sunrise Point-LP PCI Express Root Port (rev f1)
00:1f.0 ISA bridge: Intel Corporation Sunrise Point-LP LPC Controller (rev 21)
00:1f.2 Memory controller: Intel Corporation Sunrise Point-LP PMC (rev 21)
00:1f.3 Audio device: Intel Corporation Sunrise Point-LP HD Audio (rev 21)
00:1f.4 SMBus: Intel Corporation Sunrise Point-LP SMBus (rev 21)
01:00.0 3D controller: NVIDIA Corporation GM107M [GeForce GTX 950M] (rev a2)
02:00.0 Ethernet controller: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller (rev 10)
03:00.0 Network controller: Intel Corporation Wireless 7265 (rev 59)

ifconfig -a를 치면 다음과 같이 뜹니다

stone@stone-K501UX:~$ ifconfig -a
enp2s0    Link encap:Ethernet  HWaddr 9c:5c:8e:d8:b4:78  
          inet addr:192.168.219.103  Bcast:192.168.219.255  Mask:255.255.255.0
          inet6 addr: fe80::f9b1:6407:949c:cf32/64 Scope:Link
          UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1
          RX packets:2119 errors:0 dropped:0 overruns:0 frame:0
          TX packets:1707 errors:0 dropped:0 overruns:0 carrier:0
          collisions:0 txqueuelen:1000
          RX bytes:728170 (728.1 KB)  TX bytes:248113 (248.1 KB)

lo        Link encap:Local Loopback  
          inet addr:127.0.0.1  Mask:255.0.0.0
          inet6 addr: ::1/128 Scope:Host
          UP LOOPBACK RUNNING  MTU:65536  Metric:1
          RX packets:1926 errors:0 dropped:0 overruns:0 frame:0
          TX packets:1926 errors:0 dropped:0 overruns:0 carrier:0
          collisions:0 txqueuelen:1
          RX bytes:172649 (172.6 KB)  TX bytes:172649 (172.6 KB)

wlp3s0    Link encap:Ethernet  HWaddr 10:02:b5:c0:7b:af  
          BROADCAST MULTICAST  MTU:1500  Metric:1
          RX packets:0 errors:0 dropped:0 overruns:0 frame:0
          TX packets:0 errors:0 dropped:0 overruns:0 carrier:0
          collisions:0 txqueuelen:1000
          RX bytes:0 (0.0 B)  TX bytes:0 (0.0 B)

제가 너무 초보라 어떻게 터미널에 쓰면 되는지도 알려주시면 감사하겠습니다ㅜㅜ",여기보다 페이스북 우분투 커뮤니티가 답변 더 잘 달려요.,"
업그레이드 해서 최신 커널을 사용해보세요.
혹은 17.04를 설치해보세요.

스카이레이크 랩탑에 탑재된 최신 하드웨어라서
초기 커널에는 드라이버가 미지원이었을거에요.

혹은 우분투 영문 게시판에 질문해 보세요.




<---------댓글----------->



*************************************************************
",와이파이,,
226,[16.04LTS]프로그램들이 안 깔립니다.,"프로그램들이 안깔립니다....

우분투 소프트웨어 센터에서도 안 깔리구요....

플레이온리눅스를 설치하려고 다음을 명령을 쳤는데....
이렇게 나옵니다. 어떨때는 에러화면이 뜨기도 하더라구요...

플레이온리눅스 깔다가 잘못했는지 모르겠는데... 지금은 아무 프로그램도 안깔리더라구요...ㅜㅜ
도움을 부탁드립니다...

kitae@BB:~/바탕화면/Mathematica 11$ sudo apt install playonlinux
패키지 목록을 읽는 중입니다... 완료
의존성 트리를 만드는 중입니다       
상태 정보를 읽는 중입니다... 완료
다음을 바로잡으려면 'apt-get -f install'을 실행해 보십시오:
다음 패키지의 의존성이 맞지 않습니다:
 ahnlab-safe-transaction : 의존: cpuid 하지만 %s 패키지를 설치하지 않을 것입니다
                           의존: dconf-tools 하지만 %s 패키지를 설치하지 않을 것입니다
 ipinside-lws : 의존: libcrypto++-dev 하지만 %s 패키지를 설치하지 않을 것입니다
 playonlinux : 의존: python-wxgtk2.8 하지만 설치할 수 없습니다 혹은
                       python-wxgtk3.0 하지만 %s 패키지를 설치하지 않을 것입니다
               의존: icoutils
               의존: p7zip-full 하지만 %s 패키지를 설치하지 않을 것입니다
               의존: curl
E: 의존성이 맞지 않습니다. 패키지 없이 'apt-get -f install'을 시도해 보십시오 (아니면 해결 방법을 지정하십시오).",No Comments Exist,"
구글에서 위존성 문제 우분투 라고 검색해보세요.

그리고 클론질라 백업 프로그램 사용을 강추합니다.
혹은 디스크에서 이미지 뜨기도 괜찮구요. usb 라이브 부팅해서 복구하심 되구요.
사실 tar 가 가장 편하지만 안 익숙하시다면 프로그램 사용이 추천할만합니다.

시스템 백업은 우분투의 필수 코스.




<---------댓글----------->



*************************************************************
","설치
우분투-소프트웨어-센터",,
227,UFW 가 이상해요~~~~,"
16.04.2 LTS를 사용 중에 있습니다.
KVM 호스트 및 게스트 모두 사용 동일 버전입니다.
다만 KVM 호스트의 커널은 
Linux kvmhost 4.10.6-041006-generic #201703260832 SMP Sun Mar 26 12:34:42 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
인데요..

KVM 게스트에서 ufw를 이용하여 방화벽으로 사용하고 있는데요...
룰은 정확하게 입력한거 같은데 Deny 되고 있어 문의 드려요..



192.168.55.254/24 ens4 / ens3(211.170.59.155) <-> printer(211.170.59.160)

설정내용


sudo ufw enable
sudo ufw default deny incoming
sudo ufw default allow outgoing
sudo ufw allow in on ens4 to 192.168.55.254 from 192.168.55.0/24
sudo ufw allow in on ens3 to 211.170.59.155 port 1723 from any
sudo ufw allow in on ens3 to 211.170.59.155 port 3000 from any
sudo ufw allow in on ens3 to 211.170.59.155  from 211.170.59.160
sudo ufw allow in on ens4 to 211.170.59.160 port 515 from 192.168.55.0/24  
sudo ufw allow 67/udp
sudo ufw allow 53/udp


hooni@ubuntuserver:~$ sudo ufw status numbered
상태: 활성
     목적                         동작          출발
     --                         --          --
[ 1] 192.168.55.254 on ens4     ALLOW IN    192.168.55.0/24           
[ 2] 211.170.59.155 1723 on ens3 ALLOW IN    Anywhere                  
[ 3] 211.170.59.155 3000 on ens3 ALLOW IN    Anywhere                  
[ 4] 67/udp                     ALLOW IN    Anywhere                  
[ 5] 53 on ens4                 ALLOW IN    192.168.55.0/24           
[ 6] 211.170.59.155 on ens3     ALLOW IN    211.170.59.160            
[ 7] 211.170.59.160 515 on ens4 ALLOW IN    192.168.55.0/24           
[ 8] 67/udp (v6)                ALLOW IN    Anywhere (v6) 

아래 링크는 테스트한 내용이니 참고해 주세요..
https://youtu.be/gpBmW9jerHc
해결방법이나 수정할 사항이 있다면 말씀해 주세요.
감사합니다.",No Comments Exist,No Answers Exist,"#ufw
ubuntu16
04",,
228,ssh 원격 접속 후 eog 에러,"
문제가 있는 서버의 로컬 GUI 환경에서는 eog (eye of gnome)을 사용하면 jpg 또는 png 파일을 열어 볼 수 있습니다.
하지만 다른 서버에서 문제의 서버로 ssh로 연결하여 접속한 후 eog 000.jpg 를 입력하면 아래와 같은 에러가 발생합니다.

root@ggg:/# ssh -p 1111 root@ip주소 -XY
root@aaa:/# eog 000.jpg
Failed to connect to Mir : Failed to connect to server socket: No such file or dir
(eog:6327): Gtk-WARNING **: cannot open display:

참고로 문제의 서버를 제외한 다른 서버로 원격 접속 시 아무런 에러없이 파일을 볼 수 있습니다.
그리고 문제의 서버는 /swap 영역이 없고, 우분투 서버 16.04 LTS에서 데스크탑 버전을 설치했으나 다른 서버도 동일하게 적용한 결과 이상은 없었습니다.

도와주세요...ㅠㅠ  ",No Comments Exist,No Answers Exist,eog,,
229,transmission에게 root권한 주는법...?,"바나나파이 m2 ultra 에 4tb 짜리 하드를(ext4) sata로 연결하여 개인용nas를 구축하려고 하고 있습니다

삼바 연결이 안되는거 삽질을 몄일동안 하다가 드디어 성공해서 이번엔 트랜스미션을 설치했는데요.

리모트 gui에 테스트로 몄가지 파일을 다운받으려고 시도를 해보았으나 어느순간 그냥 뚝 정지되버리는겁니다ㅡ.ㅡ;;; 또 몄일동안 삽질끝에 어느날 우연히 192.168.1.***:9091 로 접속해서 web인터페이스에 접속해보니 드디어 오류 메시지를 확인할수 있었습니다.... 근데 오류 매시지는 ""permission denied"";;;;;;;;

해당 오류를 검색해보니 저말고도 수많은 사람들이 격었던 오류더군요. 그래서 구글에 검색해서 나오는 해결방법들이라느 모든 해결 방법들은 다 해봤는데.. 안되요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ

먼저, 1. 트랜스 미션데몬의 권한이 낮아서 그런가? 싶어서 `chmod 777 -R /트랜스미션이 엑세스 해야하는 디랙토리 (hdd)/ `로 아에 개나소나 물고뜯고 맛보고 할수있게 했지만. 실패...

2번째론 `sudo usermod -a -G debian-transmission root`  을 입력하여 루트 권한안에 트랜스미션을 집어넣어봤지만 실패....

3번째론 `sudo nano /etc/init.d/transmission-daemon` 를 열어서
`USER=debian-transmission` 을 `USER=root` 으로 .... 아에 트랜스미션을 루트권한으로 실행시키려고 해봤지만.. 실패;;;;

특히 '`sudo service transmission-daemon status` 입력하면
  https://i.stack.imgur.com/7wM8k.jpg

보시다시피 시드를 감시하는 폴더에 read로 불가한 접근도 못하는 상태 이더군요....;;;

  https://i.stack.imgur.com/huMve.jpg

트랜스 미션이 접근해야할 폴더의 권한 입니다... 보시다시피... 트랜스미션과 우분투사이엔 막을게 없는데 도데체 뭐가 엑세스 못하게 막는걸까요....?

제발 도와주세요 ㅠㅠ",No Comments Exist,"
우분투에서
Alt F2
gksu transmission-gtk
 혹은 
터미널에서 sudo 쳐도 저는 잘 실행 되는데요?
나스라서다른가?




<---------댓글----------->



*************************************************************
","transmission
permission
denied",,
230,virtualBox로 사용중인 ubuntu내 파일 복구방법,"
안녕하세요? 저는 virtualBox로 ubuntu를 사용하는 학생입니다. virtualBox로 ubuntu사용 중 게스트확장을 시도 했더니 다음과 같은 화면이 나오면서 ubuntu가 열리지 않습니다. ubuntu내 파일을 꼭 복구 해야하는데, 도움을 주시면 정말정말 감사하겠습니다.

",No Comments Exist,No Answers Exist,"#리눅스
#복구",,
231,11.10 화면 잠그기 해제 방법좀 부탁드립니다.,"11.10 현재 패키지를 설치나 설정 할수 없는 상태이고 터미널 접속 상황이라

터미널 접속해서 config파일 수정 정도로 할 수 있는지 알고싶습니다.

화면 잠그기를 풀어야하는 상황입니다. 일정시간이 지나면 화면이 잠기고 있네요 (암호요구)",No Comments Exist,No Answers Exist,화면잠그기,,
232,10초만 안써도 화면이 계속 꺼지는 문제,"

스크린 끄는 옵션을 Never로 놔도 10초 정도만 사용하지 않으면 화면이 꺼져버리는 문제가 생겼습니다.
이게 또 리부팅 하면 정상으로 돌아와서 안 꺼지다가, 2,3일 켜두면 다시 문제가 재발합니다.
(서버 모니터링용 PC라 계속 켜두는 PC입니다)
문제가 발생했을 때 CPU와 메인보드등 온도는 30도대라서 과열 문제는 아닙니다.

우분투 데스크탑 16.04를 여러 대에 사용 중인데, 한 대의 PC (델 Vostro 430) 에서 이 문제가 발생합니다.
혹시 해결 방법을 아시는 분 계시나요.
﻿",No Comments Exist,No Answers Exist,"화면
절전",,
233,우분투 16.04 compiz는 어떡해 사용하나요..?,"방금 우분투 깔았습니다. 16.04버전. (우분투 처음써봐요... 신기 신기)

일전에 우분투 사용자가 하는 걸 보고 신기해 했는데, 화면을 큐브처럼 돌릴 수 있더라구요.

구글링 좀 했더니(14.0 버전인듯) 터미널에 명령어를 넣고 compiz를 설치하면 된다고 해서 했는데..

제꺼에선 안나타나는 것 같아요..

해박한 답변 기다리겠습니다.",No Comments Exist,"
ccsm 이랑 unity tweak 검색해서 apt install 로 설치해보세요. 유니티 어색하시면 민트 시나몬이나 민트 KDE 버젼도 괞찮아요.
그리고 네이버랑 다음에 박정규님 리눅스연구소 카페있는데 우리같은 초보자들 질문에 친절하십니다. 또 질문 생기시면 그쪽 권합니다 ^^; 박정규님 블로그도 많은 도움이 되실거에요.




<---------댓글----------->



*************************************************************
",compiz-큐브,,
234,우분투 Evolution삭제 후 문제,"안녕하세요?

우분투 초보 최초보입니다.

제가 16.04를 구형 노트북에 설치해서 사용하다가 속도가 조금 늦는듯한 감이 있어

용감(?)하게 sudo apt-get remove evolution*를 실행하였습니다.

그랬더니 화면 제일위쪽에서 실행되던 시계도 없어져 버렸고

소리설정도 안되고

안되는게 많습니다.

그래서 다시 sudo apt-get install evolution*를 실행했는데 그래도 안되길래

재부팅도 해 보았습니다.

그래도 안됩니다...

저의 용감(?)함을 가상히 여기사 도움을 주시기 바랍니다.

감사합니다.

최 초보 드림",No Comments Exist,"
usb live 에서 똑같은 삭제 명령을 내리시면 y 하시기전에 다음 패키지를 지울 것입니다 라는 부분을 전체 드래그 복사해서 다시 설치하세요.

y 누르기전에 어떤 패키지를 삭제하는지 하나하나 확인 하셔야 합니다. 딸려있는 라이브러리까지 지우는터라 그 라이브릐리가 시스템에 관계된 놈이면 지우면 안됩니다.

그리고 구형 노트북이라 유니티 느리시면 우분투 마테 적극 추천합니다. 순정 우분투마테가 속도 빠릿합니다.




<---------댓글----------->



*************************************************************
",evolution,,
